"图解3"
"时间 (sec)","线性位移2 (mm)"
0,578.272752246861
0.04,579.222000675526
0.08,580.159273210965
0.12,581.081712282189
0.16,581.986658106972
0.2,582.871653783093
0.24,583.734449001902
0.28,584.573000865259
0.32,585.385471925325
0.36,586.170225706991
0.4,586.925819924122
0.44,587.650997711902
0.48,588.344677161044
0.52,589.005939537301
0.56,589.634016462892
0.6,590.228276409459
0.64,590.788210802051
0.68,591.313420008555
0.72,591.803599461196
0.76,592.258526125285
0.8,592.678045497236
0.84,593.062059280533
0.88,593.410513845384
0.92,593.723389566095
0.96,594.000691127133
1,594.242438782549
1.04,594.448660641538
1.08,594.619385999456
1.12,594.754639650181
1.16,594.85443729424
1.2,594.918781895905
1.24,594.947661138768
1.28,594.941045818841
1.32,594.898889333976
1.36,594.821128114323
1.4,594.707683160332
1.44,594.558462541027
1.48,594.373365024466
1.52,594.152284701617
1.56,593.895116761001
1.6,593.601764309612
1.64,593.272146311721
1.68,592.906206635371
1.72,592.503924139038
1.76,592.065323814324
1.8,591.590488898314
1.84,591.079573856359
1.88,590.532818122853
1.92,589.950560440331
1.96,589.33325359924
2,588.681479343083
2.04,587.995963167677
2.08,587.277588712548
2.12,586.527411406197
2.16,585.746670988348
2.2,584.93680261515
2.24,584.099446071725
2.28,583.236452871979
2.32,582.349890802716
2.36,581.442045740899
2.4,580.515420468795
2.44,579.572730351419
2.48,578.61689597886
2.52,577.650975850353
2.56,576.762436362193
2.6,576.048625683501
2.64,575.511232265789
2.68,575.151313504939
2.72,574.969427160518
2.76,574.945248020472
2.8,574.945240565218
2.84,574.945240575933
2.88,574.945240575748
2.92,574.945240575292
2.96,574.945240574649
3,574.945240573984
3.04,574.945240573557
3.08,574.945240573635
3.12,574.945240574148
3.16,574.945240574829
3.2,574.945240575433
3.24,574.94524057581
3.28,574.945240575875
3.32,574.945240575615
3.36,574.945240575094
3.4,574.94524057443
3.44,574.945240573812
3.48,574.945240573521
3.52,574.945240573778
3.56,574.94524057438
3.6,574.945240575062
3.64,574.945240575596
3.68,574.945240575875
3.72,574.94524057583
3.76,574.945240575471
3.8,574.945240574878
3.84,574.9452405742
3.88,574.94524057366
3.92,574.945240573545
3.96,574.945240573953
4,574.945240574606
4.04,574.945240575256
4.07,574.945240573994
4.08,574.945240575723
4.12,574.945240575899
4.16,574.94524057575
4.17,574.945240574047
4.2,574.945240575304
4.24,574.945240574667
4.28,574.945240574009
4.30888178022872,574.945240578154
4.32,574.945240571889
4.36,574.94523816796
4.4,575.004324830092
4.4313609973555,575.172334287861
4.44,575.237699392839
4.48,575.647219063839
4.48502712620161,575.711066493423
4.52,576.23116709607
4.56,576.98728697518
4.6,577.905124785108
4.64,578.858159768953
4.68,579.800387460037
4.72,580.728857371504
4.76,581.640833319943
4.784,582.179038490928
4.8,582.533779771281
4.84,583.405366705638
4.88,584.253471532451
4.92,585.076178188678
4.96,585.871773576844
5,586.638741669281
5.04,587.375755426834
5.08,588.081666984469
5.12,588.755496320261
5.16,589.39641879052
5.2,590.003751861158
5.24,590.576941325359
5.28,591.115547304593
5.32,591.61923029244
5.36,592.087737468083
5.4,592.52088947119
5.44,592.918567794129
5.48,593.28070293383
5.52,593.607263395978
5.56,593.89824560106
5.6,594.1536647763
5.64,594.373546868798
5.68,594.557921431477
5.72,594.706815603877
5.76,594.820249057343
5.8,594.898230024212
5.84,594.940752298524
5.88,594.947793299952
5.92,594.91931311027
5.96,594.855254572777
6,594.755544371163
6.04,594.62009518837
6.08,594.448808870919
6.12,594.241580691427
6.13,594.184145252039
6.16,593.998304668545
6.18053641598753,593.859366406086
6.2,593.718879977101
6.24,593.403218483717
6.28,593.051253333167
6.32,592.662948660871
6.36,592.23831033907
6.4,591.77739771241
6.44,591.280336259925
6.48,590.747331066667
6.52,590.178680952604
6.56,589.574793082995
6.6,588.93619784035
6.64000000000001,588.263563701074
6.68000000000001,587.557711819802
6.72000000000001,586.819629991727
6.76000000000001,586.050485673296
6.80000000000001,585.251637660574
6.84000000000001,584.424646069533
6.88000000000001,583.571280295477
6.92000000000001,582.693524576447
6.96000000000001,581.793580879607
7.00000000000001,580.873868899605
7.04000000000001,579.937022953969
7.08000000000001,578.985885703537
7.12000000000001,578.023491785402
7.16000000000001,577.083642681318
7.20000000000001,576.302364190543
7.24000000000001,575.696965997926
7.28000000000001,575.268694168192
7.32000000000001,575.018300167741
7.36000000000001,574.94532945143
7.40000000000001,574.945240431779
7.44000000000001,574.945240576051
7.48000000000001,574.945240575563
7.52000000000001,574.945240575027
7.56000000000001,574.945240574351
7.60000000000001,574.945240573742
7.64000000000001,574.94524057352
7.68000000000001,574.945240573833
7.72000000000001,574.945240574438
7.76000000000001,574.945240575123
7.80000000000001,574.945240575642
7.84000000000001,574.945240575874
7.88000000000001,574.945240575809
7.92000000000001,574.94524057542
7.96000000000001,574.945240574794
8.00000000000001,574.945240574134
8.04,574.945240573623
8.08,574.945240573571
8.12,574.945240574018
